"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
890,4397eee8-31b8-4213-9a57-b4c9092952c0,7ad0c886-9555-496a-9a3a-4cbdb7dbc5c7,1,6100e4ce-8203-4be3-974f-b1976ce51fa0,,Strept. Uberis,2,28,
891,86f1ff8b-ae48-4f63-91c4-b3988c258c44,7ad0c886-9555-496a-9a3a-4cbdb7dbc5c7,1,6100e4ce-8203-4be3-974f-b1976ce51fa0,,E. coli,1,28,
892,de3609d3-1331-4207-b176-1a6750e546d2,f8949ad8-acc5-43f7-981f-13cf4010f3e4,1,d54608aa-0883-447f-89bd-1b93170227c9,,S.aureus,0,28,
893,e54d96fc-56a1-40f4-a216-8bc44b4ee737,f8949ad8-acc5-43f7-981f-13cf4010f3e4,1,d54608aa-0883-447f-89bd-1b93170227c9,,Strept. Dysgalactiae,0,28,
894,cc1ebd39-497e-498e-ae1f-f3132cbc5d42,f8949ad8-acc5-43f7-981f-13cf4010f3e4,1,d54608aa-0883-447f-89bd-1b93170227c9,,Strept. Uberis,0,28,
895,6e5640b6-25c8-4b96-ac62-f433a641aed2,f8949ad8-acc5-43f7-981f-13cf4010f3e4,1,d54608aa-0883-447f-89bd-1b93170227c9,,E. coli,1,28,
896,c9f491f5-cc24-42aa-ba8f-e0e82fa7a85e,25bf5d06-8d2d-41c5-bcc6-07bc5b70fb9e,1,10388c97-5649-4fad-9e13-8ac01532fe50,,S.aureus,2,34,
897,ddf99c07-472c-454f-9c3f-62180d96bd54,25bf5d06-8d2d-41c5-bcc6-07bc5b70fb9e,1,10388c97-5649-4fad-9e13-8ac01532fe50,,Strept. Dysgalactiae,0,34,
898,f674aa9b-7a4c-46de-a4c0-b298d868a55a,25bf5d06-8d2d-41c5-bcc6-07bc5b70fb9e,1,10388c97-5649-4fad-9e13-8ac01532fe50,,Strept. Uberis,0,34,
899,dc7fef0a-e773-4c2d-9850-d21a44f31759,25bf5d06-8d2d-41c5-bcc6-07bc5b70fb9e,1,10388c97-5649-4fad-9e13-8ac01532fe50,,E. coli,0,34,
900,e30fa256-e39a-4a0f-a7cb-16c6e6eb7ba0,b61d221d-ccb2-4d0b-af3e-31801ee1b0aa,1,6b69e15f-5877-4976-bced-228bec19668c,,S.aureus,8,34,
901,d9c03a92-2190-4b9b-80b9-cc7c95932024,b61d221d-ccb2-4d0b-af3e-31801ee1b0aa,1,6b69e15f-5877-4976-bced-228bec19668c,,Strept. Dysgalactiae,1,34,
902,4f97487d-2d78-48d7-be00-35868ec9d168,b61d221d-ccb2-4d0b-af3e-31801ee1b0aa,1,6b69e15f-5877-4976-bced-228bec19668c,,Strept. Uberis,0,34,
903,f02c4dd3-1086-4503-a5b8-68871fc0eede,b61d221d-ccb2-4d0b-af3e-31801ee1b0aa,1,6b69e15f-5877-4976-bced-228bec19668c,,E. coli,2,34,
904,0e246f85-8481-4bd8-906d-0e890e67928e,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Strept. Uberis,11,399,
905,df1e951d-80d6-4321-883c-d2816202f19b,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Coliforms,2,399,
906,36e3a0e9-f3f1-4acc-b57d-0aff160a667d,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Arcanobacterium pyogenes,1,399,
907,46135761-5248-4b8e-9ddb-9afefbff036e,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Strept. Dysgalactiae,0,399,
908,3ce73522-3775-4695-bc41-e21bcb87ee62,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Enterococcus spp.,2,399,Enterococci
909,ff7603bd-d377-4108-a44b-f61fa7220a14,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,<10 wk,Coagulase-negative staph (CNS),8,399,
910,0c3ac56f-8ebe-468e-b10a-7160d01f7f48,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Strept. Uberis,6,132,
911,0882bdac-ef0c-4910-9c38-b734927b543c,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Coliforms,3,132,
912,0a0baaa0-b860-49b0-85dd-a3224e074ae7,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Arcanobacterium pyogenes,0,132,
913,f5b806f7-70ed-4877-8084-63acab4fa35b,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Strept. Dysgalactiae,1,132,
914,8a58392f-4b44-41bd-b59c-0419429dd586,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Enterococcus spp.,0,132,Enterococci
915,0d40360b-6c83-4659-9e36-20cf2142423d,d90390a2-8f64-4c6d-9e34-c6c4c87ea628,1,dc052401-903e-4c52-9425-9a4852c7eef0,>=10 wk,Coagulase-negative staph (CNS),5,132,
916,58c6dfaa-56f0-4802-bfc2-c1b140783b9e,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Strept. Uberis,6,437,
917,48568258-afea-4a43-b59f-d9c92c1f501e,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Coliforms,2,437,
918,a7fa22ef-c99e-4d54-8dec-c78fb10e0249,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Arcanobacterium pyogenes,0,437,
919,05e5f47a-b983-40dc-a9c7-f37b6a994d69,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Strept. Dysgalactiae,0,437,
920,328e21c0-b38c-403c-9c86-cdec800d50fa,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Enterococcus spp.,2,437,
921,cec26ad3-48ca-41ee-b115-03f60f08f707,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,<10 wk,Coagulase-negative staph (CNS),6,437,
922,816fd5ba-1165-49e2-badc-a4efd3f981a6,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Strept. Uberis,2,159,
923,54362a9d-bf68-48c3-8b61-44714317f91c,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Coliforms,0,159,
924,9282da27-cfab-45c3-bea9-3af5b36cb21b,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Arcanobacterium pyogenes,0,159,
925,ef19be35-44b5-49e0-8f6e-4e2daad06643,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Strept. Dysgalactiae,0,159,
926,058509ad-af23-44e8-ab87-3049b3214cae,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Enterococcus spp.,0,159,
927,85b8e2c4-edcc-4625-9712-df7ddf5742ae,b6c530f3-30b2-4f88-a12b-049ff9fa2df1,1,ec11850d-7703-4143-8163-dec8e3adb68f,>=10 wk,Coagulase-negative staph (CNS),6,159,
928,b3307485-0657-4eef-8a65-afdfead6878b,c43ace1c-c843-41ad-a176-b4f9a429f801,1,09637b0c-cdbb-457b-b72e-7a47374bc70d,,,5,60,
929,1e1e2059-18a9-472b-a885-3bebca6735be,57a90c3b-9ce0-4df0-902f-152c02ca9b77,1,ed190dfd-715d-453d-8c91-8c3ed476a58e,,,4,71,
930,59a39561-347a-43e2-9f12-6c8a6a1a023f,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,S.aureus,10,40,
931,106a4fd3-1ff7-42f0-ba1f-9f9bfa173aa0,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,Strept. Agalactiae,3,40,
932,6ac8417c-8118-4079-85f7-59c87ea654c4,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,Strept. Uberis,1,40,
933,0050667b-0c6d-486f-bc50-aab2859a2df5,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,Strept. Dysgalactiae,0,40,
934,e3459f0d-764e-4633-9cfa-4545efeb7722,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,E. coli,0,40,
935,cad70665-7576-4cca-9fa4-f376e9902085,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,Coagulase-negative staph (CNS),4,40,
936,233e0348-d283-4aa3-b644-b742433d27e2,b2bd26c0-32c6-41c6-b571-2b565aa6baf6,1,83ec5577-3982-4135-9cd6-e66c3a89cc86,,Bacillus spp.,1,40,
937,67b05e02-73f7-4204-bd66-2e3a8cd70f44,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,S.aureus,10,81,
938,24900458-95bc-42b8-a778-d0c274df08ec,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,Strept. Agalactiae,2,81,
939,004f274c-42d1-444b-972a-44e2a2a1c947,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,Strept. Uberis,3,81,
940,4ba1cea9-942e-4458-9b6b-a2dc9074d887,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,Strept. Dysgalactiae,0,81,
941,d11466eb-445e-4135-b209-7f2e8c7dbefa,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,E. coli,1,81,
942,37e229ad-4e72-4bc0-bd2a-7dc1db44d739,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,Coagulase-negative staph (CNS),12,81,
943,e7f474fe-eea5-49c4-917b-034ab7b3c1ce,cc2dab99-e015-425d-9eb5-ee9cb14ea6ff,1,2dbf006b-6615-47cd-918d-2142d5f64648,,Bacillus spp.,0,81,
944,b169ab53-d009-4fe0-af05-889c4be62f2a,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,S.aureus,2,40,
945,943a5e41-864c-4989-a0ce-4c959989aebe,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,Strept. Agalactiae,0,40,
946,3281d19f-7e7a-4818-99ac-9954a0903373,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,Strept. Uberis,0,40,
947,3caea0df-2dd5-4a84-a476-814e3835a4ae,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,Strept. Dysgalactiae,0,40,
948,47d5cedb-8441-4862-be50-04b66cf2d7ec,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,E. coli,0,40,
949,71f75a62-88bf-4dce-a57b-9221358fa8b4,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,Coagulase-negative staph (CNS),8,40,
950,a0451396-dae9-4adc-ab68-dbdc54997630,bae094d4-2622-4db2-bfe6-9f7969faf4a4,1,bf9c24a6-1868-4aa6-aa7b-18450e2d89f7,,Bacillus spp.,0,40,
951,3ee368ec-17cc-40f5-8c37-d92959caf4ff,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,S.aureus,0,40,
952,a1df981e-cd48-4a32-bce9-cbf2b9598f54,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,Strept. Agalactiae,0,40,
953,4aa21a12-6eff-44b8-b2c0-34f299cba7f7,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,Strept. Uberis,0,40,
954,ff890f62-817f-43c6-bda5-dd4d47ec71c8,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,Strept. Dysgalactiae,0,40,
955,b354bfdb-8072-4b7c-b4c0-703a4a0aa90f,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,E. coli,0,40,
956,dc820714-68d7-499c-9f3b-5abc8df0190e,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,Coagulase-negative staph (CNS),4,40,
957,8d5fc8f0-7e0d-456c-bf0b-3695bcc983e3,ce9b926e-79d8-425d-8911-10d13865342a,1,b73d59be-d326-459a-96d9-8477083178dd,,Bacillus spp.,1,40,
958,8f2e322a-d051-433d-a59b-1ac7166889ed,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,S.aureus,1,40,
959,7d06dd20-82eb-4557-b625-1f881220056e,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,Strept. Agalactiae,0,40,
960,9c6c4856-7a7e-4592-8af0-d6d7223cdd9c,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,Strept. Uberis,3,40,
961,f03e6e04-2580-476d-8fca-d1d94b72f168,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,Strept. Dysgalactiae,0,40,
962,d27ff7a6-4a25-44cd-88bc-5772a49f035e,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,E. coli,3,40,
963,7db9e2ef-bad7-4976-b594-49980398c16d,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,Coagulase-negative staph (CNS),1,40,
964,80e76d83-aa2d-4a83-a765-b8aba2923639,9d4f4eb0-9297-4f89-9be9-6d3ec70661fc,1,86910219-3104-41f3-9286-bddf3f53a093,,Bacillus spp.,6,40,
965,cb571c48-03f2-4795-a71c-6aae07216cdd,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,S.aureus,5,81,
966,062b7e39-5dfa-4c4f-8b47-cdac3d04cc9b,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,Strept. Agalactiae,2,81,
967,5adf194c-46af-4878-9461-f6dd873d024c,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,Strept. Uberis,3,81,
968,7c481c28-686d-4fa3-b9bc-2d5630d18786,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,Strept. Dysgalactiae,2,81,
969,63770052-8411-4d9c-81ea-3a1f7d016a2e,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,E. coli,2,81,
970,fca229fd-53b0-4ad5-b3ab-07d00d336473,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,Coagulase-negative staph (CNS),4,81,
971,6f53130f-056d-4691-accc-d7413fafe7db,5e634522-d711-4f7c-b371-64d2763e1b87,1,521b27ae-1eed-46f7-a9e0-ee2beef0e352,,Bacillus spp.,2,81,
972,c1a8a28f-5a17-46ce-8273-e7ad6b18ff8d,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,S.aureus,10,780,
973,34c667a9-be03-40d2-9024-d5474c5d0e33,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,Strept. Agalactiae,2,812,
974,50414b7c-1245-4f23-b48a-03f8732593f4,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,Strept. Dysgalactiae,8,809,
975,60ef01e5-7632-46ea-9e8a-0421feefafd3,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,Strept. Uberis,18,770,
976,8ed73739-dee0-4378-849e-104d7b1c1cbc,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,Enterococcus spp.,46,785,
977,f90527eb-f178-4235-a4d6-e5fa1385f721,32637565-4512-4f22-9115-7438732b6c62,1,03a32c91-cf73-4baf-9eb4-02028811f6f9,,Strept. Bovis,9,812,
